original,uno
K Pliskova,Karolina Pliskova
Kr.Pliskova,Kristyna Pliskova
Kristyna Pliskova,Kristyna Pliskova
Karolina Pliskova,Karolina Pliskova
Ka.Pliskova,Karolina Pliskova
A Medina Garrigues,Anabel Medina Garrigues
A. Medina Garrigues,Anabel Medina Garrigues
A.Medina Garrigues,Anabel Medina Garrigues
Anabel Medina Garrigues,Anabel Medina Garrigues
P Kvitova,Petra Kvitova
Petra Kvitova,Petra Kvitova
P.Kvitova,Petra Kvitova
S.Peng,Shuai Peng
S Peng,Shuai Peng
Shuai Peng,Shuai Peng
U.Radwanska,Urszula Radwanska
U Radwanska,Urszula Radwanska
Urszula Radwanska,Urszula Radwanska
Julia Goerges,Julia Goerges
J.Goerges,Julia Goerges
J Goerges,Julia Goerges
F.Pennetta,Flavia Pennetta
Flavia Pennetta,Flavia Pennetta
F Pennetta,Flavia Pennetta
L.Dominguez Lino,Lourdes Dominguez Lino
L Dominguez Lino,Lourdes Dominguez Lino
Lourdes Dominguez Lino,Lourdes Dominguez Lino
O Govortsova,Olga Govortsova
O.Govortsova,Olga Govortsova
Olga Govortsova,Olga Govortsova
N.Li,Na Li
N Li,Na Li
Na Li,Na Li
H.Watson,Heather Watson
H Watson,Heather Watson
Heather Watson,Heather Watson
A.Kuznetsov,Andrey Kuznetsov
Andrey Kuznetsov,Andrey Kuznetsov
Alex Kuznetsov,Andrey Kuznetsov
Mallory Burdette,Mallory Burdette
M Burdette,Mallory Burdette
M.Burdette,Mallory Burdette
J.Hampton,Jamie Hampton
Jamie Hampton,Jamie Hampton
J Hampton,Jamie Hampton
D.Hantuchova,Daniela Hantuchova
Daniela Hantuchova,Daniela Hantuchova
D Hantuchova,Daniela Hantuchova
F Schiavone,Francesca Schiavone
Francesca Schiavone,Francesca Schiavone
F.Schiavone,Francesca Schiavone
Eugenie Bouchard,Eugenie Bouchard
E.Bouchard,Eugenie Bouchard
E Bouchard,Eugenie Bouchard
A.Cornet,Alize Cornet
A Cornet,Alize Cornet
Alize Cornet,Alize Cornet
C Suarez Navarro,Carla Suarez Navarro
Carla Suarez Navarro,Carla Suarez Navarro
C.Suarez Navarro,Carla Suarez Navarro
M Minella,Mandy Minella
M.Minella,Mandy Minella
Mandy Minella,Mandy Minella
J.Zheng,Jie Zheng
J Zheng,Jie Zheng
Jie Zheng,Jie Zheng
Y Shvedova,Yaroslava Shvedova
Y.Shvedova,Yaroslava Shvedova
Yaroslava Shvedova,Yaroslava Shvedova
C Giorgi,Camila Giorgi
Camila Giorgi,Camila Giorgi
C.Giorgi,Camila Giorgi
Victoria Azarenka,Victoria Azarenka
V.Azarenka,Victoria Azarenka
V Azarenka,Victoria Azarenka
A.Riske,Alison Riske
A Riske,Alison Riske
Alison Riske,Alison Riske
L Robson,Laura Robson
Laura Robson,Laura Robson
L.Robson,Laura Robson
Ekaterina Makarova,Ekaterina Makarova
E Makarova,Ekaterina Makarova
E.Makarova,Ekaterina Makarova
S.Errani,Sara Errani
Sara Errani,Sara Errani
S Errani,Sara Errani
S.Stephens,Sloane Stephens
S Stephens,Sloane Stephens
Sloane Stephens,Sloane Stephens
S.Arvidsson,Sofia Arvidsson
Sofia Arvidsson,Sofia Arvidsson
S Arvidsson,Sofia Arvidsson
A Kerber,Angelique Kerber
A.Kerber,Angelique Kerber
Angelique Kerber,Angelique Kerber
Kristina Mladenovic,Kristina Mladenovic
K.Mladenovic,Kristina Mladenovic
K Mladenovic,Kristina Mladenovic
G.Voskoboeva,Galina Voskoboeva
G Voskoboeva,Galina Voskoboeva
Galina Voskoboeva,Galina Voskoboeva
A.Tomljanovic,Ajla Tomljanovic
A Tomljanovic,Ajla Tomljanovic
Ajla Tomljanovic,Ajla Tomljanovic
Caroline Garcia,Caroline Garcia
C Garcia,Caroline Garcia
C.Garcia,Caroline Garcia
M.Kirilenko,Maria Kirilenko
Maria Kirilenko,Maria Kirilenko
M Kirilenko,Maria Kirilenko
K Flipkens,Kirsten Flipkens
Kirsten Flipkens,Kirsten Flipkens
K.Flipkens,Kirsten Flipkens
V.Lepchenko,Varvara Lepchenko
Varvara Lepchenko,Varvara Lepchenko
V Lepchenko,Varvara Lepchenko
S Stosur,Samantha Stosur
S.Stosur,Samantha Stosur
Samantha Stosur,Samantha Stosur
L Arruabarrena,Lara Arruabarrena
Lara Arruabarrena,Lara Arruabarrena
L.Arruabarrena,Lara Arruabarrena
A Ivanovic,Ana Ivanovic
Ana Ivanovic,Ana Ivanovic
A.Ivanovic,Ana Ivanovic
M.Barthel,Mona Barthel
M Barthel,Mona Barthel
Mona Barthel,Mona Barthel
Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova
A.Pavlyuchenkova,Anastasia Pavlyuchenkova
A Pavlyuchenkova,Anastasia Pavlyuchenkova
A Petkovic,Andrea Petkovic
Andrea Petkovic,Andrea Petkovic
A.Petkovic,Andrea Petkovic
A.Tatishvili,Anna Tatishvili
A Tatishvili,Anna Tatishvili
Anna Tatishvili,Anna Tatishvili
Lauren Davis,Lauren Davis
L Davis,Lauren Davis
L.Davis,Lauren Davis
Karin Knapp,Karin Knapp
K Knapp,Karin Knapp
